❓ 미니 MNIST 과제
훈련 데이터 : (1437, 64)
테스트 데이터 : (360, 64)
클래스 수 : 10개 (0-9 숫자)

W1 형태: (64, 16)
W2 형태: (16, 10)
[  1/300] loss=2.3170 | train=10.37% | test=11.67%
[  2/300] loss=2.3124 | train=11.13% | test=11.39%
[  3/300] loss=2.3087 | train=11.13% | test=11.39%
[  4/300] loss=2.3056 | train=11.83% | test=11.67%
[  5/300] loss=2.3030 | train=11.83% | test=11.94%
[  6/300] loss=2.3009 | train=11.90% | test=11.39%
[  7/300] loss=2.2990 | train=11.90% | test=10.56%
[  8/300] loss=2.2974 | train=11.90% | test=10.56%
[  9/300] loss=2.2960 | train=11.83% | test=10.56%
[ 10/300] loss=2.2948 | train=12.53% | test=11.11%
[ 11/300] loss=2.2936 | train=13.85% | test=12.22%
[ 12/300] loss=2.2926 | train=15.94% | test=13.33%
[ 13/300] loss=2.2916 | train=17.19% | test=13.89%
[ 14/300] loss=2.2907 | train=17.61% | test=14.17%
[ 15/300] loss=2.2898 | train=17.88% | test=12.78%
[ 16/300] loss=2.2890 | train=16.98% | test=13.06%
[ 17/300] loss=2.2882 | train=17.26% | test=13.89%
[ 18/300] loss=2.2874 | train=18.16% | test=15.00%
[ 19/300] loss=2.2866 | train=18.79% | test=14.17%
[ 20/300] loss=2.2859 | train=19.14% | test=15.00%
[ 21/300] loss=2.2851 | train=19.49% | test=15.28%
[ 22/300] loss=2.2844 | train=19.69% | test=15.56%
[ 23/300] loss=2.2836 | train=20.53% | test=15.28%
[ 24/300] loss=2.2828 | train=20.95% | test=15.56%
[ 25/300] loss=2.2821 | train=21.57% | test=16.11%
[ 26/300] loss=2.2813 | train=22.20% | test=16.39%
[ 27/300] loss=2.2806 | train=22.62% | test=16.67%
[ 28/300] loss=2.2798 | train=23.52% | test=17.50%
[ 29/300] loss=2.2790 | train=24.01% | test=17.50%
[ 30/300] loss=2.2783 | train=24.63% | test=18.06%
[ 31/300] loss=2.2775 | train=25.61% | test=18.06%
[ 32/300] loss=2.2767 | train=26.03% | test=18.89%
[ 33/300] loss=2.2759 | train=26.58% | test=19.17%
[ 34/300] loss=2.2751 | train=27.14% | test=19.44%
[ 35/300] loss=2.2743 | train=28.04% | test=19.44%
[ 36/300] loss=2.2735 | train=28.74% | test=19.72%
[ 37/300] loss=2.2726 | train=29.30% | test=20.00%
[ 38/300] loss=2.2718 | train=29.99% | test=20.56%
[ 39/300] loss=2.2710 | train=30.34% | test=20.56%
[ 40/300] loss=2.2701 | train=31.52% | test=20.56%
[ 41/300] loss=2.2692 | train=32.78% | test=21.39%
[ 42/300] loss=2.2684 | train=33.47% | test=22.50%
[ 43/300] loss=2.2675 | train=34.03% | test=24.17%
[ 44/300] loss=2.2666 | train=34.79% | test=24.17%
[ 45/300] loss=2.2657 | train=35.28% | test=24.72%
[ 46/300] loss=2.2648 | train=35.84% | test=25.00%
[ 47/300] loss=2.2638 | train=36.46% | test=25.83%
