❓ 미니 MNIST 과제
훈련 데이터 : (1437, 64)
테스트 데이터 : (360, 64)
클래스 수 : 10개 (0-9 숫자)

W1 형태: (64, 32)
W2 형태: (32, 10)
[  1/300] loss=2.3325 | train=10.09% | test=9.44%
[  2/300] loss=2.3175 | train=10.72% | test=10.28%
[  3/300] loss=2.3074 | train=14.13% | test=11.11%
[  4/300] loss=2.3002 | train=15.17% | test=13.06%
[  5/300] loss=2.2951 | train=17.33% | test=14.72%
[  6/300] loss=2.2911 | train=18.65% | test=16.94%
[  7/300] loss=2.2880 | train=19.69% | test=17.50%
[  8/300] loss=2.2855 | train=21.22% | test=20.00%
[  9/300] loss=2.2833 | train=21.99% | test=20.83%
[ 10/300] loss=2.2813 | train=23.52% | test=22.22%
[ 11/300] loss=2.2795 | train=24.22% | test=22.22%
[ 12/300] loss=2.2777 | train=24.91% | test=22.78%
[ 13/300] loss=2.2761 | train=25.12% | test=22.78%
[ 14/300] loss=2.2744 | train=25.54% | test=22.78%
[ 15/300] loss=2.2728 | train=26.51% | test=23.33%
[ 16/300] loss=2.2712 | train=26.79% | test=23.61%
[ 17/300] loss=2.2696 | train=27.63% | test=24.44%
[ 18/300] loss=2.2680 | train=28.74% | test=24.72%
[ 19/300] loss=2.2664 | train=29.58% | test=25.56%
[ 20/300] loss=2.2648 | train=30.20% | test=26.94%
[ 21/300] loss=2.2632 | train=31.04% | test=28.06%
[ 22/300] loss=2.2615 | train=31.52% | test=29.44%
[ 23/300] loss=2.2599 | train=32.08% | test=30.00%
[ 24/300] loss=2.2582 | train=33.19% | test=30.00%
[ 25/300] loss=2.2566 | train=34.45% | test=31.39%
[ 26/300] loss=2.2549 | train=35.00% | test=32.22%
[ 27/300] loss=2.2532 | train=35.91% | test=33.06%
[ 28/300] loss=2.2515 | train=37.02% | test=34.44%
[ 29/300] loss=2.2498 | train=38.48% | test=35.83%
[ 30/300] loss=2.2480 | train=39.53% | test=36.94%
[ 31/300] loss=2.2463 | train=40.57% | test=37.50%
[ 32/300] loss=2.2445 | train=41.20% | test=38.06%
[ 33/300] loss=2.2427 | train=41.61% | test=38.61%
[ 34/300] loss=2.2409 | train=42.17% | test=38.89%
[ 35/300] loss=2.2391 | train=42.59% | test=40.00%
[ 36/300] loss=2.2373 | train=43.28% | test=40.56%
[ 37/300] loss=2.2354 | train=43.98% | test=41.94%
[ 38/300] loss=2.2335 | train=44.68% | test=42.78%
[ 39/300] loss=2.2317 | train=45.58% | test=43.06%
[ 40/300] loss=2.2297 | train=46.07% | test=43.89%
[ 41/300] loss=2.2278 | train=46.56% | test=45.28%
[ 42/300] loss=2.2258 | train=47.39% | test=45.56%
[ 43/300] loss=2.2239 | train=48.36% | test=45.83%
[ 44/300] loss=2.2219 | train=48.78% | test=46.94%
[ 45/300] loss=2.2199 | train=49.41% | test=47.22%
[ 46/300] loss=2.2178 | train=50.10% | test=48.06%
[ 47/300] loss=2.2157 | train=50.73% | test=48.06%
[ 48/300] loss=2.2137 | train=50.94% | test=48.33%
[ 49/300] loss=2.2115 | train=51.43% | test=48.89%
[ 50/300] loss=2.2094 | train=51.98% | test=49.17%
[ 51/300] loss=2.2072 | train=52.26% | test=49.72%
[ 52/300] loss=2.2050 | train=52.75% | test=50.00%
[ 53/300] loss=2.2028 | train=52.96% | test=50.56%
[ 54/300] loss=2.2006 | train=53.31% | test=50.56%
[ 55/300] loss=2.1983 | train=53.72% | test=50.83%
[ 56/300] loss=2.1960 | train=54.42% | test=51.67%
[ 57/300] loss=2.1937 | train=54.63% | test=52.50%
[ 58/300] loss=2.1913 | train=54.84% | test=52.50%
[ 59/300] loss=2.1889 | train=55.25% | test=52.78%
[ 60/300] loss=2.1865 | train=55.67% | test=53.33%
[ 61/300] loss=2.1841 | train=55.74% | test=53.33%
[ 62/300] loss=2.1816 | train=56.23% | test=53.33%
[ 63/300] loss=2.1791 | train=56.65% | test=53.89%
[ 64/300] loss=2.1765 | train=56.85% | test=54.44%
[ 65/300] loss=2.1740 | train=56.99% | test=54.72%
[ 66/300] loss=2.1714 | train=57.13% | test=55.56%
[ 67/300] loss=2.1687 | train=57.27% | test=55.83%
[ 68/300] loss=2.1661 | train=57.76% | test=56.11%
[ 69/300] loss=2.1634 | train=57.76% | test=56.11%
[ 70/300] loss=2.1606 | train=57.97% | test=56.11%
[ 71/300] loss=2.1578 | train=58.32% | test=56.39%
[ 72/300] loss=2.1550 | train=58.46% | test=57.22%
[ 73/300] loss=2.1522 | train=58.52% | test=57.22%
[ 74/300] loss=2.1493 | train=58.59% | test=57.78%
[ 75/300] loss=2.1464 | train=58.87% | test=57.50%
[ 76/300] loss=2.1434 | train=59.15% | test=57.50%
[ 77/300] loss=2.1404 | train=59.36% | test=57.78%
[ 78/300] loss=2.1374 | train=59.71% | test=58.06%
[ 79/300] loss=2.1343 | train=60.06% | test=58.33%
[ 80/300] loss=2.1312 | train=60.26% | test=58.33%
[ 81/300] loss=2.1280 | train=60.19% | test=58.61%
[ 82/300] loss=2.1249 | train=60.40% | test=58.61%
[ 83/300] loss=2.1216 | train=60.54% | test=59.17%
[ 84/300] loss=2.1183 | train=60.61% | test=59.17%
[ 85/300] loss=2.1150 | train=60.68% | test=59.72%
[ 86/300] loss=2.1117 | train=60.82% | test=59.72%
[ 87/300] loss=2.1083 | train=61.24% | test=59.72%
[ 88/300] loss=2.1048 | train=61.31% | test=60.00%
[ 89/300] loss=2.1014 | train=61.38% | test=60.00%
[ 90/300] loss=2.0978 | train=61.66% | test=60.56%
[ 91/300] loss=2.0943 | train=61.80% | test=60.83%
[ 92/300] loss=2.0907 | train=62.21% | test=61.11%
[ 93/300] loss=2.0870 | train=62.42% | test=61.11%
[ 94/300] loss=2.0833 | train=62.49% | test=61.11%
[ 95/300] loss=2.0796 | train=62.77% | test=61.39%
[ 96/300] loss=2.0758 | train=62.91% | test=61.67%
[ 97/300] loss=2.0719 | train=63.19% | test=62.22%
[ 98/300] loss=2.0681 | train=63.47% | test=62.22%
[ 99/300] loss=2.0641 | train=63.54% | test=62.22%
[100/300] loss=2.0602 | train=63.60% | test=62.78%
[101/300] loss=2.0562 | train=63.67% | test=62.78%
[102/300] loss=2.0521 | train=63.74% | test=62.78%
[103/300] loss=2.0480 | train=63.88% | test=63.06%
[104/300] loss=2.0438 | train=64.02% | test=63.06%
[105/300] loss=2.0396 | train=64.23% | test=63.06%
[106/300] loss=2.0354 | train=64.44% | test=63.06%
[107/300] loss=2.0311 | train=64.51% | test=63.61%
[108/300] loss=2.0268 | train=64.51% | test=63.61%
[109/300] loss=2.0224 | train=64.72% | test=63.89%
[110/300] loss=2.0180 | train=64.86% | test=63.33%
[111/300] loss=2.0135 | train=64.93% | test=63.33%
[112/300] loss=2.0090 | train=65.00% | test=63.89%
[113/300] loss=2.0044 | train=65.07% | test=64.17%
[114/300] loss=1.9998 | train=65.14% | test=64.17%
[115/300] loss=1.9951 | train=65.27% | test=64.17%
